Date,Number_of_Sales
2017-06-22,
2017-06-23,19.0
2017-06-24,21.0
2017-06-25,13.0
2017-06-26,14.0
2017-06-27,33.0
2017-06-28,15.0
2017-06-29,38.0
2017-06-30,21.0
2017-07-01,10.0
2017-07-02,31.0
2017-07-03,51.0
2017-07-04,58.0
2017-07-05,18.0
2017-07-06,23.0
2017-07-07,37.0
2017-07-08,30.0
2017-07-09,12.0
2017-07-10,17.0
2017-07-11,43.0
2017-07-12,17.0
2017-07-13,31.0
2017-07-14,7.0
2017-07-15,5.0
2017-07-16,3.0
2017-07-17,5.0
2017-07-18,30.0
2017-07-19,31.0
2017-07-20,21.0
2017-07-21,21.0
2017-07-22,13.0
2017-07-23,6.0
2017-07-24,15.0
2017-07-25,8.0
2017-07-26,5.0
2017-07-27,2.0
2017-07-28,5.0
2017-07-29,8.0
2017-07-30,16.0
2017-07-31,2.0
2017-08-01,2.0
2017-08-02,1.0
2017-08-03,21.0
2017-08-04,0.0
2017-08-05,2.0
2017-08-06,0.0
2017-08-07,1.0
2017-08-08,5.0
2017-08-09,3.0
2017-08-10,2.0
2017-08-11,8.0
2017-08-12,17.0
2017-08-13,7.0
2017-08-14,3.0
2017-08-15,4.0
2017-08-16,2.0
2017-08-17,2.0
2017-08-18,1.0
2017-08-19,1.0
2017-08-20,1.0
2017-08-21,8.0
2017-08-22,1.0
2017-08-23,2.0
2017-08-24,0.0
2017-08-25,3.0
2017-08-26,1.0
2017-08-27,0.0
2017-08-28,9.0
2017-08-29,1.0
2017-08-30,2.0
2017-08-31,1.0
2017-09-01,5.0
2017-09-02,3.0
2017-09-03,0.0
2017-09-04,3.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,1.0
2017-09-09,0.0
2017-09-10,3.0
2017-09-11,2.0
2017-09-12,2.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,1.0
2017-09-17,2.0
2017-09-18,1.0
2017-09-19,4.0
2017-09-20,3.0
2017-09-21,4.0
2017-09-22,1.0
2017-09-23,4.0
2017-09-24,1.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,4.0
2017-09-28,1.0
2017-09-29,7.0
2017-09-30,10.0
2017-10-01,1.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,1.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,1.0
2017-10-09,1.0
2017-10-10,0.0
2017-10-11,1.0
2017-10-12,1.0
2017-10-13,4.0
2017-10-14,4.0
2017-10-15,3.0
2017-10-16,2.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,1.0
2017-10-20,1.0
2017-10-21,1.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,1.0
2017-10-26,7.0
2017-10-27,6.0
2017-10-28,6.0
2017-10-29,1.0
2017-10-30,3.0
2017-10-31,6.0
2017-11-01,4.0
2017-11-02,3.0
2017-11-03,0.0
2017-11-04,3.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,1.0
2017-11-08,0.0
2017-11-09,2.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,1.0
2017-11-13,2.0
2017-11-14,1.0
2017-11-15,2.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,2.0
2017-11-20,3.0
2017-11-21,110.0
2017-11-22,57.0
2017-11-23,1116.0
2017-11-24,3018.0
2017-11-25,1941.0
2017-11-26,1220.0
2017-11-27,968.0
2017-11-28,1728.0
2017-11-29,5578.0
2017-11-30,8160.0
2017-12-01,7887.0
2017-12-02,13765.0
2017-12-03,29765.0
2017-12-04,38991.0
2017-12-05,41525.0
2017-12-06,32360.0
2017-12-07,38193.0
2017-12-08,45207.0
2017-12-09,51014.0
2017-12-10,52034.0
2017-12-11,47067.0
2017-12-12,37395.0
2017-12-13,29696.0
2017-12-14,30935.0
2017-12-15,23030.0
2017-12-16,27195.0
2017-12-17,21155.0
2017-12-18,19061.0
2017-12-19,14047.0
2017-12-20,20783.0
2017-12-21,15803.0
2017-12-22,16282.0
2017-12-23,14597.0
2017-12-24,12581.0
2017-12-25,9822.0
2017-12-26,7946.0
2017-12-27,9106.0
2017-12-28,9979.0
2017-12-29,8274.0
2017-12-30,6641.0
2017-12-31,6921.0
2018-01-01,7586.0
2018-01-02,6484.0
2018-01-03,3608.0
2018-01-04,2568.0
2018-01-05,2076.0
2018-01-06,2906.0
2018-01-07,3194.0
2018-01-08,2550.0
2018-01-09,1766.0
2018-01-10,1326.0
2018-01-11,2159.0
2018-01-12,2482.0
2018-01-13,2499.0
2018-01-14,2817.0
2018-01-15,1818.0
2018-01-16,2018.0
2018-01-17,2326.0
2018-01-18,2818.0
2018-01-19,3117.0
2018-01-20,3218.0
2018-01-21,3087.0
2018-01-22,3025.0
2018-01-23,2887.0
2018-01-24,2674.0
2018-01-25,2252.0
2018-01-26,2819.0
2018-01-27,3140.0
2018-01-28,2661.0
2018-01-29,2474.0
2018-01-30,2988.0
2018-01-31,2858.0
2018-02-01,2076.0
2018-02-02,2496.0
2018-02-03,2297.0
2018-02-04,2050.0
2018-02-05,2385.0
2018-02-06,3335.0
2018-02-07,2899.0
2018-02-08,2760.0
2018-02-09,2831.0
2018-02-10,2118.0
2018-02-11,3426.0
2018-02-12,3241.0
2018-02-13,3722.0
2018-02-14,5649.0
2018-02-15,6400.0
2018-02-16,5473.0
2018-02-17,4241.0
2018-02-18,4430.0
2018-02-19,5017.0
2018-02-20,4549.0
2018-02-21,4032.0
2018-02-22,3874.0
2018-02-23,4407.0
2018-02-24,8592.0
2018-02-25,9135.0
2018-02-26,6712.0
2018-02-27,8571.0
2018-02-28,7718.0
2018-03-01,5962.0
2018-03-02,4356.0
2018-03-03,4490.0
2018-03-04,5166.0
2018-03-05,4370.0
2018-03-06,3777.0
2018-03-07,5094.0
2018-03-08,6581.0
2018-03-09,6113.0
2018-03-10,9077.0
2018-03-11,4067.0
2018-03-12,4834.0
2018-03-13,3758.0
